737850988920944,0.742456,6.040239,8.665181
737851008925296,0.787961,6.143225,8.006551
737851028929520,0.941243,5.992339,7.676038
737851048933872,1.420247,6.078560,6.825806
737851068938224,1.077759,6.301297,5.472620
737851088949141,0.993933,6.883286,5.882168
737851108953621,1.130449,7.050938,7.019803
737851128958101,1.106499,6.828201,7.278465
737851148962709,1.132844,6.531219,6.797066
737851168967189,1.190325,6.540799,6.016289
737851188970273,1.192720,6.883286,5.999524
737851208974753,0.946033,6.806646,6.701265
737851228979361,1.240620,7.149134,6.739585
737851248983969,0.826282,7.264094,6.931187
737851268988449,0.481399,6.919212,7.304810
737851288983963,0.653840,6.569539,7.630533
737851308988443,1.075364,7.268885,6.322852
737851328992923,1.362766,7.314390,6.703660
737851348997403,1.468147,6.662945,7.807764
737851369001883,1.331631,6.674920,7.865244
737851389000621,1.099314,6.497688,7.232959
737851409004973,0.780776,6.255791,6.600674
737851429009325,0.955613,7.168294,7.232959
737851449013677,1.017883,6.928792,7.625742
737851469018029,0.538879,6.823411,7.994576
737851489017090,0.967588,7.331155,7.462881
737851509021314,1.437012,6.888076,6.648574
737851529025538,0.668211,5.379214,5.276228
737851549029890,0.380808,7.340735,5.369634
737851569034114,1.293311,7.683223,7.726333
737851588979810,1.357976,6.524034,7.771839
737851608984074,1.137634,6.811436,7.048543
737851628987146,1.058599,6.971902,5.918094
737851648990218,-0.857417,7.165899,6.598279
737851668993290,-0.129331,7.585027,7.829319
737851689002646,3.846401,6.921607,5.364844
737851709005718,3.501519,7.197034,4.301455
737851729008790,3.503914,6.684500,4.694239
737851749011862,3.961362,6.634204,4.993616
737851769014934,2.897974,7.120393,6.145620
737851789022266,1.832190,7.352710,6.495293
737851809025210,1.513652,7.381451,6.248606
737851829028282,2.153123,6.940767,7.386240
737851849031354,-0.256267,6.864126,9.314231
737851869034426,-3.331472,7.846084,8.715476
737851889049688,-3.180586,7.743098,7.151529
737851909052888,-1.908831,7.117998,6.957532
737851929056088,-1.743574,6.947952,7.213799
